user_id,total_ratings,avg_rating,rating_std,total_purchases,total_spend,avg_order_value,total_clicks,view_count,add_to_cart_count,account_age_days,is_premium,gender_encoded,purchase_frequency,activity_score
1,18,3.111111111111111,1.4095843729891318,5,2897.15,579.4300000000001,46,22,7,961,1,1,0.0051975051975051,19.9
2,20,2.8,1.2814465510343749,6,5722.83,953.805,46,24,4,87,1,0,0.0681818181818181,20.8
3,20,3.35,1.0894228312566052,14,9338.16,667.0114285714286,45,17,6,568,1,1,0.0246045694200351,24.5
4,35,3.142857142857143,1.4978976864230735,4,2700.37,675.0925,44,14,7,686,1,2,0.0058224163027656,22.2
5,24,2.75,1.4218787326754636,11,8129.15,739.0136363636364,58,31,2,535,1,0,0.0205223880597014,27.7
6,19,2.5789473684210527,1.0706067580626215,8,2983.01,372.87625,39,20,3,506,1,1,0.0157790927021696,19.5
7,17,2.823529411764706,1.5506165756581742,8,7985.570000000001,998.19625,40,18,8,831,1,2,0.0096153846153846,19.4
8,21,4.0,1.1401754250991378,4,2395.19,598.7975,47,17,7,1047,0,1,0.0038167938931297,20.3
9,19,3.0,1.4907119849998598,7,4839.0,691.2857142857143,49,21,5,875,0,0,0.0079908675799086,22.0
10,15,3.333333333333333,1.3451854182690988,14,8141.900000000001,581.5642857142858,48,13,11,756,1,1,0.0184940554821664,24.4
11,17,3.4705882352941178,1.124591429076774,8,3314.87,414.35875,52,21,6,441,0,0,0.0180995475113122,23.0
12,23,2.782608695652174,1.475759334257528,9,6680.860000000001,742.3177777777778,43,14,8,919,1,1,0.0097826086956521,22.0
13,16,3.1875,1.515200756775594,7,5502.64,786.0914285714287,51,17,12,687,1,0,0.0101744186046511,22.0
14,19,3.3684210526315788,1.4985372985307104,8,2761.62,345.2025,43,21,10,516,1,0,0.0154738878143133,20.7
15,14,3.071428571428572,1.6854255666327542,3,1557.12,519.04,56,23,8,619,0,0,0.0048387096774193,21.1
16,13,2.6923076923076925,1.6012815380508714,8,7192.49,899.06125,36,13,9,269,0,1,0.0296296296296296,17.4
17,16,3.5,1.5055453054181618,8,4276.17,534.52125,42,15,9,259,0,1,0.0307692307692307,19.8
18,17,3.5294117647058822,1.5048939771136507,5,2408.88,481.776,42,17,5,747,0,2,0.0066844919786096,18.5
19,14,2.7142857142857144,1.5406577730392863,9,6101.71,677.9677777777778,52,25,9,1005,0,2,0.0089463220675944,22.9
20,15,3.4,1.1832159566199232,9,3864.4,429.3777777777778,42,21,4,764,1,1,0.0117647058823529,20.1
21,21,2.6666666666666665,1.2780193008453875,4,2846.5,711.625,46,15,11,950,1,2,0.0042060988433228,20.0
22,20,3.0,1.2565617248750862,10,10013.52,1001.352,47,19,10,81,1,0,0.1219512195121951,23.1
23,17,2.4705882352941178,1.5458673560021057,7,5534.08,790.5828571428572,51,22,7,441,0,1,0.0158371040723981,22.2
24,13,3.3076923076923075,1.5483655567842811,14,9741.21,695.8007142857142,60,16,16,1018,0,0,0.0137389597644749,27.6
25,20,3.45,1.3562719801759993,12,5240.29,436.6908333333333,46,20,10,1005,0,0,0.0119284294234592,23.8
26,20,3.05,1.190974832912761,8,6773.05,846.63125,47,20,5,233,0,2,0.0341880341880341,22.1
27,23,2.782608695652174,1.5654369630794764,7,7220.6,1031.5142857142855,66,24,9,609,1,2,0.0114754098360655,27.9
28,19,3.1578947368421053,1.5727950313140984,5,2454.82,490.96400000000006,46,19,5,172,1,2,0.0289017341040462,20.1
29,17,3.0,1.414213562373095,9,5567.91,618.6566666666666,53,22,9,1035,1,2,0.0086872586872586,23.8
30,9,3.2222222222222223,1.6414763002993509,9,7746.01,860.6677777777778,45,19,6,482,0,0,0.0186335403726708,19.8
31,19,3.0,1.3743685418725535,7,5292.84,756.12,62,28,5,222,1,2,0.0313901345291479,25.9
32,17,3.0588235294117645,1.2976222599091636,6,4905.72,817.62,43,22,4,654,1,0,0.0091603053435114,19.3
33,13,3.4615384615384617,1.1982893790305562,10,7064.65,706.4649999999999,50,21,9,631,0,1,0.0158227848101265,22.6
34,20,2.95,1.5035046776746237,11,10635.47,966.860909090909,41,20,5,659,1,0,0.0166666666666666,21.8
35,16,2.8125,1.1672617529928753,4,1515.14,378.785,43,17,7,438,0,2,0.0091116173120728,18.1
36,16,3.1875,1.3275918047351754,5,3114.41,622.882,50,25,6,225,0,2,0.0221238938053097,20.7
37,30,3.1,1.3480509557543974,9,3538.86,393.20666666666665,56,23,7,866,0,2,0.0103806228373702,27.3
38,23,2.608695652173913,1.469048252032049,10,4157.83,415.783,52,24,7,709,1,0,0.0140845070422535,25.200000000000003
39,18,3.2222222222222223,1.516790557318723,3,1808.33,602.7766666666666,51,23,9,844,0,2,0.0035502958579881,20.4
40,21,3.238095238095238,1.445847914020071,9,7290.38,810.0422222222222,42,20,5,7,0,2,1.125,21.3
41,29,3.5172413793103448,1.4545664463330747,8,3707.76,463.47,47,18,8,743,0,0,0.010752688172043,23.9
42,23,3.652173913043478,1.1122743142757674,12,3927.32,327.2766666666667,41,16,5,305,0,1,0.0392156862745098,22.9
43,16,2.875,1.6278820596099708,8,7476.15,934.51875,52,23,6,684,1,1,0.0116788321167883,22.8
44,24,3.5,1.4446302370292303,7,4874.41,696.3442857142857,39,11,7,801,1,2,0.0087281795511221,20.0
45,15,3.2,1.3201731488169055,6,3813.81,635.635,39,17,8,128,0,2,0.0465116279069767,17.7
46,17,3.882352941176471,1.4090046549415864,7,3735.6,533.6571428571428,44,15,9,235,0,1,0.0296610169491525,20.1
47,19,3.210526315789474,1.3572417850765923,4,2932.19,733.0475,56,20,9,629,0,2,0.0063492063492063,22.6
48,23,3.1739130434782608,1.5855074872402406,8,7092.400000000001,886.5500000000001,48,18,7,596,1,0,0.0134003350083752,23.0
49,18,3.2777777777777777,1.274434386908933,3,3363.41,1121.1366666666663,46,16,6,73,1,2,0.0405405405405405,18.9
50,14,2.7857142857142856,1.672334684416758,15,9206.29,613.7526666666668,46,22,11,868,0,2,0.0172612197928653,24.1
