product_id,total_ratings,avg_user_rating,rating_variance,total_purchases,total_revenue,total_views,price,category_encoded,in_stock,price_normalized,view_to_purchase_ratio,popularity_score
1,38,2.921052631578948,2.236842105263158,7,348.0,44,23.2,9,1,0.0357888337217549,0.1555555555555555,14.332
2,37,3.054054054054054,2.441441441441442,13,12889.89,44,330.51,3,0,0.6585672307224643,0.2888888888888888,16.432000000000002
3,39,3.3846153846153846,1.663967611336032,13,2412.48,45,57.44,1,1,0.105177829567332,0.2826086956521739,17.035
4,42,3.3095238095238093,2.3164924506387923,19,12711.04,48,198.61,0,1,0.391265579086027,0.3877551020408163,20.344
5,38,3.026315789473684,2.296586059743955,26,18541.72,41,243.97,1,1,0.4831897861992096,0.6190476190476191,21.923
6,38,2.8421052631578947,2.40682788051209,15,5738.04,52,159.39,2,0,0.311784375316648,0.2830188679245283,17.555999999999997
7,44,3.0454545454545454,2.463002114164905,17,2452.7200000000003,42,53.32,1,1,0.0968284527307731,0.3953488372093023,20.126
8,31,3.0,1.6666666666666667,19,1735.68,35,27.12,3,1,0.0437329010031411,0.5277777777777778,17.005
9,41,2.804878048780488,2.0609756097560985,15,23265.5,33,465.31,3,1,0.9317458709089068,0.4411764705882353,18.399
10,45,2.977777777777778,1.9313131313131315,18,7091.28,57,168.84,5,1,0.3309352517985611,0.3103448275862069,20.871
11,39,2.8205128205128207,2.361673414304993,16,4863.0,33,97.26,9,1,0.1858749620022292,0.4705882352941176,18.199
12,39,3.1538461538461537,1.6599190283400806,18,12059.62,43,227.54,6,1,0.4498936062417671,0.4090909090909091,19.029
13,39,2.8974358974358974,1.8839406207827256,16,20002.2,36,377.4,7,1,0.7535920559327186,0.4324324324324324,18.208
14,36,2.9166666666666665,2.7642857142857142,18,8559.22,38,186.07,5,1,0.3658526699766947,0.4615384615384615,18.114
15,41,3.2195121951219514,2.575609756097561,20,26572.15,38,483.13,0,0,0.9678589522748,0.5128205128205128,20.414
16,27,3.0,2.384615384615384,12,5139.38,48,177.22,6,1,0.3479177221602999,0.2448979591836734,13.044
17,41,3.1219512195121952,2.259756097560976,21,3474.3,38,46.95,6,1,0.0839193433985206,0.5384615384615384,20.814
18,40,3.35,2.335897435897436,19,5067.33,34,95.61,8,0,0.1825311581720539,0.5428571428571428,19.702
19,31,3.3870967741935485,2.178494623655914,15,3662.0,46,73.24,9,0,0.1371972844259803,0.3191489361702128,15.438
20,32,3.0,2.516129032258065,18,15382.4,34,279.68,5,1,0.5555578072753066,0.5142857142857142,16.902
21,35,3.0,2.235294117647058,16,16826.94,52,311.61,1,0,0.6202654777586382,0.3018867924528302,17.055999999999997
22,43,2.86046511627907,1.932447397563677,19,21652.09,34,408.53,2,0,0.8166784881953592,0.5428571428571428,20.602
23,38,2.6842105263157894,1.6273115220483645,24,15594.76,43,210.74,9,1,0.415847603607255,0.5454545454545454,21.129
24,34,2.8823529411764706,2.106951871657753,21,1500.72,38,20.28,3,1,0.0298713142162326,0.5384615384615384,18.714
25,39,2.7948717948717947,2.4304993252361675,17,14098.24,41,271.12,8,0,0.5382105583139123,0.4047619047619047,18.623
26,35,2.942857142857143,1.996638655462185,15,2685.76,34,61.04,5,1,0.1124734015604417,0.4285714285714285,16.602
27,35,2.8857142857142857,2.515966386554622,17,21728.4,52,381.2,5,0,0.7612929374810011,0.320754716981132,17.456
28,44,3.0454545454545454,2.1839323467230445,26,11884.86,36,152.37,3,1,0.2975580099300841,0.7027027027027027,23.708
29,41,3.1463414634146343,2.1780487804878046,25,16453.16,35,222.34,1,1,0.4393555578072753,0.6944444444444444,22.405
30,30,3.033333333333333,2.0333333333333337,16,17680.02,50,431.22,6,1,0.8626608572297092,0.3137254901960784,15.55
31,32,3.0,1.806451612903225,11,15740.0,29,393.5,6,1,0.786219475124126,0.3666666666666666,14.087
32,35,3.2,1.5176470588235291,18,13820.24,42,300.44,5,1,0.5976289391022394,0.4186046511627907,17.826
33,41,3.1219512195121952,1.959756097560976,13,17151.84,39,476.44,6,1,0.9543013476542708,0.325,17.617
34,35,3.0,1.647058823529412,11,20843.76,45,496.28,9,1,0.994508055527409,0.2391304347826087,15.035
35,34,3.235294117647059,2.0641711229946527,18,22142.68,40,357.14,7,0,0.7125341979937176,0.4390243902439024,17.52
36,45,3.111111111111111,1.9191919191919191,11,12085.52,40,318.04,2,0,0.6332961799574426,0.2682926829268293,18.02
37,39,3.41025641025641,2.0904183535762484,12,5927.89,40,204.41,3,0,0.4030195561860371,0.2926829268292683,16.62
38,44,2.863636363636364,1.9809725158562368,21,17291.13,47,293.07,0,0,0.582693281994123,0.4375,21.741
39,45,3.1777777777777776,1.4676767676767677,9,9572.64,29,398.86,1,1,0.7970817712027561,0.3,17.187
40,36,3.1944444444444446,1.818253968253968,9,5439.06,32,164.82,0,1,0.3227885297395886,0.2727272727272727,14.496
41,31,2.7419354838709675,1.9311827956989251,18,18970.08,49,395.21,6,1,0.7896848718208531,0.36,16.647
42,33,2.909090909090909,1.7727272727272727,13,522.4,38,13.06,3,0,0.0152396392744958,0.3333333333333333,15.214000000000002
43,38,2.789473684210526,2.549075391180654,16,23310.12,37,495.96,0,1,0.9938595602391326,0.4210526315789473,17.911
44,42,3.3095238095238093,1.3896631823461094,14,2457.6,30,51.2,2,1,0.0925321714459418,0.4516129032258064,18.29
45,39,2.743589743589744,1.774628879892038,14,8449.98,49,201.19,2,0,0.3964940723477556,0.28,17.447
46,41,3.1219512195121952,2.209756097560975,22,404.42,45,5.54,3,1,0.0,0.4782608695652174,21.235000000000003
47,47,3.0851063829787235,1.9056429232192416,15,499.2,33,9.6,5,0,0.008227783970007,0.4411764705882353,20.199
48,52,2.980769230769231,1.9407993966817496,17,1722.5800000000002,39,40.06,2,1,0.0699564292228189,0.425,22.517
49,44,3.2045454545454546,2.492071881606765,15,16320.33,37,441.09,1,1,0.882662883777485,0.3947368421052631,19.311
50,37,2.918918918918919,1.7987987987987992,16,10217.88,49,283.83,3,0,0.5639679805451413,0.32,17.647
51,34,2.735294117647059,1.958110516934046,13,9792.9,44,315.9,1,0,0.6289593677170939,0.2888888888888888,15.531999999999998
52,43,3.0930232558139537,1.8959025470653383,21,26479.79,40,448.81,7,0,0.8983078326071537,0.5121951219512195,21.42
53,47,3.276595744680851,1.856614246068455,13,7069.92,55,160.68,1,1,0.3143986219475124,0.2321428571428571,19.465
54,38,3.1578947368421053,2.082503556187767,17,16636.95,43,302.49,7,1,0.6017833620427602,0.3863636363636363,18.329000000000004
55,36,3.1666666666666665,1.8571428571428568,18,14109.66,53,261.29,8,1,0.518289593677171,0.3333333333333333,18.159
56,41,2.731707317073171,2.401219512195122,14,9998.8,46,249.97,4,1,0.4953490728543925,0.2978723404255319,18.038
57,37,2.702702702702702,1.8813813813813816,17,27143.05,55,493.51,5,0,0.9888945181882663,0.3035714285714285,18.065
58,39,2.8205128205128207,1.887989203778677,8,5018.76,44,185.88,6,1,0.3654676258992805,0.1777777777777777,15.031999999999998
59,41,3.097560975609756,2.340243902439025,18,2113.65,35,38.43,4,1,0.0666531563481609,0.5,19.605
60,48,2.895833333333333,2.5633865248226946,15,6459.64,44,146.81,9,0,0.2862904042962813,0.3333333333333333,20.532
61,38,3.5,2.1486486486486487,17,14815.22,52,322.07,9,1,0.6414631674941736,0.320754716981132,18.356
62,41,3.1707317073170733,1.945121951219512,19,2558.96,35,44.12,3,1,0.078184213192826,0.5277777777777778,20.005
63,43,2.813953488372093,1.6312292358803986,21,25199.42,44,318.98,9,1,0.6352011348667546,0.4666666666666667,21.432
64,29,3.0689655172413794,1.9236453201970445,17,1380.06,50,33.66,9,1,0.0569865234572904,0.3333333333333333,15.65
65,48,2.9791666666666665,2.4463652482269502,13,15318.5,47,306.37,0,1,0.6096463674131117,0.2708333333333333,19.741
66,33,3.1515151515151514,2.0075757575757573,13,15146.32,37,352.24,4,1,0.702604113891985,0.3421052631578947,15.211000000000002
67,34,3.323529411764706,1.7406417112299464,9,2306.22,44,67.83,2,1,0.1262336609585571,0.2,13.932
68,47,2.7872340425531914,1.9537465309898243,13,20226.0,53,404.52,4,1,0.8085520316141452,0.2407407407407407,19.459
69,29,2.862068965517241,2.123152709359605,12,8018.88,31,250.59,6,0,0.4966055324754281,0.375,13.593
70,40,2.95,2.151282051282051,6,2992.16,33,187.01,6,1,0.3677576248860066,0.1764705882352941,14.499
71,43,2.7209302325581395,1.4916943521594683,23,426.36,42,6.27,7,1,0.0014793798763805,0.5348837209302325,22.226000000000003
72,54,2.7222222222222223,2.2798742138364774,11,7036.46,46,185.17,4,1,0.3640287769784172,0.2340425531914893,20.738000000000003
73,42,3.2857142857142856,1.770034843205576,14,4645.6,39,116.14,5,1,0.224136184010538,0.35,18.317
74,42,3.333333333333333,2.227642276422765,17,10235.16,49,189.54,3,1,0.3728847907589421,0.34,19.547
75,43,2.7674418604651163,1.3255813953488371,11,13251.6,36,490.8,7,0,0.9834025737156754,0.2972972972972973,17.408
76,43,2.813953488372093,1.631229235880399,14,6179.37,42,167.01,8,1,0.3272266693687303,0.3255813953488372,18.626
77,34,2.9705882352941178,1.8475935828877008,22,16192.56,51,284.08,7,0,0.5644746174891073,0.4230769230769231,19.153
78,34,3.117647058823529,2.046345811051693,13,15554.24,34,486.07,1,1,0.9738170027358396,0.3714285714285714,15.502
79,36,3.0277777777777777,1.7992063492063493,14,18661.6,40,466.54,2,1,0.9342385246732192,0.3414634146341463,16.52
80,34,2.8529411764705883,1.8868092691622105,12,217.36,45,5.72,4,1,0.0003647785996554,0.2608695652173913,15.135
81,42,3.1904761904761907,1.914053426248549,18,28515.12,42,491.64,7,1,0.9851048738474008,0.4186046511627907,19.926
82,38,2.6578947368421053,2.177098150782361,13,828.63,46,26.73,8,0,0.0429425473705542,0.2765957446808511,16.738000000000003
83,36,3.138888888888889,2.1230158730158726,22,36555.0,33,487.4,1,1,0.9765123112777384,0.6470588235294118,19.699
84,36,3.0,1.485714285714286,18,13707.54,35,297.99,9,1,0.592663897051373,0.5,18.105
85,39,3.025641025641025,1.5519568151147098,11,14064.6,41,426.2,8,1,0.8524875873948728,0.2619047619047619,16.223000000000003
86,45,2.888888888888889,1.6464646464646462,14,5724.42,38,139.62,1,1,0.2717195257878204,0.358974358974359,19.214
87,36,2.6944444444444446,1.818253968253968,18,3604.92,41,81.93,6,1,0.1548079845982369,0.4285714285714285,18.123
88,53,2.849056603773585,1.8229317851959363,26,20811.56,52,270.28,9,0,0.5365082581821866,0.490566037735849,26.456
89,39,3.128205128205128,1.8515519568151144,18,7353.72,47,136.18,8,1,0.2647482014388489,0.375,19.041
90,41,2.902439024390244,1.8902439024390247,25,7800.8,35,111.44,6,1,0.2146114094639781,0.6944444444444444,22.405
