user_id,total_ratings,avg_rating,rating_std,total_purchases,total_spend,avg_order_value,total_clicks,view_count,add_to_cart_count,account_age_days,is_premium,gender_encoded,purchase_frequency,activity_score
1,18,3.111111111111111,1.4095843729891318,5,2897.15,579.4300000000001,46,22,7,961,1,1,0.005197505197505198,19.9
2,20,2.8,1.2814465510343749,6,5722.83,953.805,46,24,4,87,1,0,0.06818181818181818,20.799999999999997
3,20,3.35,1.0894228312566052,14,9338.16,667.0114285714286,45,17,6,568,1,1,0.02460456942003515,24.5
4,35,3.142857142857143,1.4978976864230737,4,2700.37,675.0925,44,14,7,686,1,2,0.005822416302765648,22.2
5,24,2.75,1.4218787326754636,11,8129.15,739.0136363636364,58,31,2,535,1,0,0.020522388059701493,27.7
6,19,2.5789473684210527,1.0706067580626217,8,2983.01,372.87625,39,20,3,506,1,1,0.015779092702169626,19.5
7,17,2.823529411764706,1.5506165756581742,8,7985.570000000001,998.1962500000001,40,18,8,831,1,2,0.009615384615384616,19.4
8,21,4.0,1.1401754250991378,4,2395.19,598.7975,47,17,7,1047,0,1,0.003816793893129771,20.3
9,19,3.0,1.4907119849998598,7,4839.0,691.2857142857143,49,21,5,875,0,0,0.007990867579908675,22.0
10,15,3.3333333333333335,1.3451854182690988,14,8141.900000000001,581.5642857142858,48,13,11,756,1,1,0.018494055482166448,24.4
11,17,3.4705882352941178,1.124591429076774,8,3314.87,414.35875,52,21,6,441,0,0,0.01809954751131222,23.0
12,23,2.782608695652174,1.475759334257528,9,6680.860000000001,742.3177777777778,43,14,8,919,1,1,0.009782608695652175,22.0
13,16,3.1875,1.515200756775594,7,5502.64,786.0914285714287,51,17,12,687,1,0,0.010174418604651164,21.999999999999996
14,19,3.3684210526315788,1.4985372985307104,8,2761.62,345.2025,43,21,10,516,1,0,0.015473887814313346,20.7
15,14,3.0714285714285716,1.6854255666327542,3,1557.12,519.04,56,23,8,619,0,0,0.004838709677419355,21.1
16,13,2.6923076923076925,1.6012815380508714,8,7192.49,899.06125,36,13,9,269,0,1,0.02962962962962963,17.4
17,16,3.5,1.5055453054181618,8,4276.17,534.52125,42,15,9,259,0,1,0.03076923076923077,19.8
18,17,3.5294117647058822,1.5048939771136507,5,2408.88,481.776,42,17,5,747,0,2,0.0066844919786096255,18.5
19,14,2.7142857142857144,1.5406577730392865,9,6101.71,677.9677777777778,52,25,9,1005,0,2,0.008946322067594433,22.900000000000002
20,15,3.4,1.1832159566199232,9,3864.4,429.3777777777778,42,21,4,764,1,1,0.011764705882352941,20.1
21,21,2.6666666666666665,1.2780193008453877,4,2846.5,711.625,46,15,11,950,1,2,0.004206098843322818,20.0
22,20,3.0,1.2565617248750862,10,10013.52,1001.3520000000001,47,19,10,81,1,0,0.12195121951219512,23.1
23,17,2.4705882352941178,1.5458673560021057,7,5534.08,790.5828571428572,51,22,7,441,0,1,0.01583710407239819,22.199999999999996
24,13,3.3076923076923075,1.5483655567842813,14,9741.21,695.8007142857142,60,16,16,1018,0,0,0.013738959764474975,27.6
25,20,3.45,1.3562719801759993,12,5240.29,436.69083333333333,46,20,10,1005,0,0,0.011928429423459244,23.799999999999997
26,20,3.05,1.190974832912761,8,6773.05,846.63125,47,20,5,233,0,2,0.03418803418803419,22.1
27,23,2.782608695652174,1.5654369630794764,7,7220.6,1031.5142857142857,66,24,9,609,1,2,0.011475409836065573,27.900000000000002
28,19,3.1578947368421053,1.5727950313140984,5,2454.82,490.96400000000006,46,19,5,172,1,2,0.028901734104046242,20.099999999999998
29,17,3.0,1.414213562373095,9,5567.91,618.6566666666666,53,22,9,1035,1,2,0.008687258687258687,23.799999999999997
30,9,3.2222222222222223,1.6414763002993509,9,7746.01,860.6677777777778,45,19,6,482,0,0,0.018633540372670808,19.8
31,19,3.0,1.3743685418725535,7,5292.84,756.12,62,28,5,222,1,2,0.03139013452914798,25.9
