product_id,name,category,subcategory,price,brand,avg_rating,n_reviews,in_stock,description,price_normalized,category_encoded
1,Implemented directional methodology,Toys,Toys_5,23.2,"Bryant, Guzman and Thomas",4.9,4398,1,Out final wrong but you religious long.,0.03578883372175499,9
2,Extended modular frame,Clothing,Clothing_2,330.51,"Levy, Brown and Patrick",2.4,362,0,Still decision run special red apply tend condition maintain.,0.6585672307224643,3
3,Object-based exuding protocol,Beauty,Beauty_4,57.44,Ritter PLC,1.4,1818,1,Front question wrong serious hospital month executive recent crime task hour capital sell.,0.10517782956733204,1
4,Reduced actuating strategy,Automotive,Automotive_3,198.61,Ellis-Martin,4.1,4821,1,Kind lot today decide source crime prepare gun task.,0.391265579086027,0
5,Customer-focused systematic toolset,Beauty,Beauty_1,243.97,Bennett Group,2.2,703,1,Unit benefit wind conference appear woman practice order wide.,0.48318978619920966,1
6,Self-enabling uniform initiative,Books,Books_3,159.39,Johnson and Sons,2.8,1694,0,Major read west present heart reality somebody probably sing ten practice every president.,0.31178437531664804,2
7,Multi-layered 24/7 capability,Beauty,Beauty_4,53.32,Miller Group,3.9,3706,1,Different only would look really behind or himself yourself reflect fear by foot research television.,0.09682845273077313,1
8,Public-key contextually-based initiative,Clothing,Clothing_3,27.12,"Smith, Hawkins and Herrera",3.8,185,1,Major million once research so buy send whole today Congress out conference never song but.,0.04373290100314115,3
9,De-engineered object-oriented database,Clothing,Clothing_2,465.31,"Martin, Hart and York",4.0,4227,1,Be by fear whom commercial with probably.,0.9317458709089067,3
10,Fully-configurable exuding analyzer,Grocery,Grocery_2,168.84,"Conway, Carter and Ferguson",2.7,3785,1,Officer reason mission worry goal Mrs decide between standard.,0.33093525179856115,5
11,Front-line 5thgeneration core,Toys,Toys_2,97.26,Evans and Sons,3.6,3240,1,Own democratic grow campaign performance avoid effort high tough.,0.18587496200222922,9
12,Open-architected logistical artificial intelligence,Health,Health_2,227.54,Rhodes-Bentley,2.7,36,1,Movie audience run yet recent cover head price star.,0.4498936062417671,6
13,Robust cohesive instruction set,Home & Kitchen,Home & Kitchen_3,377.4,Stewart Group,4.2,512,1,Ago page back by body nature at policy guy four event than.,0.7535920559327186,7
14,Face-to-face even-keeled access,Grocery,Grocery_2,186.07,Bennett and Sons,1.8,933,1,Weight situation but money then open southern believe give occur example even.,0.3658526699766947,5
15,Cross-platform actuating concept,Automotive,Automotive_5,483.13,Potts-Price,2.3,3183,0,South question small necessary think I or else rather require price central.,0.9678589522747999,0
16,Re-contextualized user-facing flexibility,Health,Health_1,177.22,Sellers Ltd,4.4,1413,1,Religious eat participant religious consumer worry sometimes maybe every into walk thing.,0.3479177221602999,6
17,Focused fault-tolerant productivity,Health,Health_5,46.95,Meza Group,1.5,965,1,Suddenly play baby drive behavior offer be experience upon space action way.,0.08391934339852063,6
