transaction_id,user_id,product_id,quantity,unit_price,total_amount,payment_method,transaction_date,status
1,553,110,2,91.9,183.8,debit_card,2026-03-04T00:44:55,completed
2,190,21,3,311.61,934.83,credit_card,2026-06-08T09:13:17,pending
3,973,496,2,168.6,337.2,debit_card,2026-04-19T03:01:32,completed
4,764,351,1,429.96,429.96,cod,2026-06-02T19:12:50,completed
5,762,230,1,305.05,305.05,debit_card,2026-01-25T03:00:30,completed
6,884,55,3,261.29,783.87,credit_card,2026-07-04T06:10:01,pending
7,804,374,2,189.95,379.9,wallet,2026-03-17T06:10:27,completed
8,839,246,5,217.11,1085.55,debit_card,2026-05-04T14:37:31,completed
9,823,388,2,321.07,642.14,debit_card,2026-04-07T00:16:09,completed
10,222,412,1,442.0,442.0,cod,2026-06-05T08:15:22,completed
11,729,55,4,261.29,1045.16,wallet,2026-05-08T01:58:04,pending
12,331,250,4,38.75,155.0,wallet,2026-01-26T01:26:40,completed
13,175,326,4,177.31,709.24,cod,2026-04-24T17:34:25,completed
14,926,174,5,238.04,1190.2,cod,2026-05-21T01:59:12,completed
15,974,14,4,186.07,744.28,credit_card,2026-03-31T05:05:01,completed
16,864,397,2,97.38,194.76,debit_card,2026-02-09T23:52:39,completed
17,949,84,5,297.99,1489.95,credit_card,2026-05-02T11:41:46,completed
18,969,496,3,168.6,505.8,upi,2026-02-12T22:10:16,cancelled
19,426,202,4,54.41,217.64,wallet,2026-06-07T09:07:06,completed
20,719,130,5,207.59,1037.95,cod,2026-02-18T18:36:44,completed
21,754,153,4,365.76,1463.04,credit_card,2026-03-18T13:55:16,completed
22,362,385,2,195.47,390.94,debit_card,2026-07-02T00:45:53,completed
23,461,492,3,235.12,705.36,wallet,2026-05-13T09:56:38,completed
24,475,238,1,137.15,137.15,upi,2026-04-07T16:00:34,completed
25,973,103,5,175.3,876.5,wallet,2026-07-17T14:01:02,completed
26,264,328,3,255.59,,cod,2026-07-15T08:59:58,cancelled
27,15,253,2,61.79,123.58,upi,2026-01-27T14:08:53,completed
28,863,156,5,440.27,2201.35,debit_card,2026-06-24T23:58:05,completed
29,422,239,1,346.84,346.84,wallet,2026-07-11T02:01:30,completed
30,290,262,2,197.08,394.16,debit_card,2026-06-12T12:08:25,completed
31,842,334,2,202.47,404.94,cod,2026-06-25T20:05:33,completed
32,683,385,4,195.47,781.88,credit_card,2026-07-09T22:59:45,refunded
33,788,58,1,185.88,185.88,upi,2026-04-14T14:38:47,completed
34,515,261,4,398.14,1592.56,debit_card,2026-04-04T13:46:17,completed
35,52,48,2,40.06,80.12,credit_card,2026-05-17T05:13:17,completed
36,932,136,2,27.09,54.18,upi,2026-02-25T20:53:42,completed
37,593,144,1,201.69,201.69,upi,2026-04-12T20:10:01,completed
38,261,400,1,311.77,311.77,debit_card,2026-01-31T22:14:11,completed
39,155,240,4,55.73,,wallet,2026-03-07T01:10:46,completed
40,208,77,1,284.08,284.08,wallet,2026-04-18T21:26:34,completed
41,161,136,3,27.09,81.27,upi,2026-06-04T05:26:51,completed
42,723,467,4,98.98,395.92,credit_card,2026-03-27T04:32:39,completed
43,915,447,5,180.91,904.55,debit_card,2026-03-13T09:50:13,pending
44,680,452,4,70.23,280.92,upi,2026-01-23T05:22:04,completed
45,694,444,1,452.42,452.42,debit_card,2026-03-12T20:14:35,pending
46,842,470,4,165.11,660.44,debit_card,2026-06-13T12:01:07,completed
47,311,90,3,111.44,334.32,credit_card,2026-05-20T05:51:57,pending
48,387,18,2,95.61,191.22,cod,2026-04-29T12:13:06,completed
49,103,194,4,106.72,426.88,upi,2026-05-24T23:01:00,completed
50,403,455,5,420.56,2102.8,upi,2026-05-20T00:55:20,completed
51,99,473,3,475.13,1425.39,credit_card,2026-01-26T22:38:25,completed
52,811,21,3,311.61,934.83,upi,2026-02-10T08:22:10,completed
53,393,278,5,388.51,1942.55,debit_card,2026-03-07T23:05:35,completed
54,391,33,4,476.44,1905.76,debit_card,2026-04-06T06:51:19,refunded
55,399,28,5,152.37,761.85,credit_card,2026-05-18T18:01:07,completed
56,188,98,5,194.45,972.25,credit_card,2026-04-24T19:46:46,completed
57,862,352,3,407.84,1223.52,credit_card,2026-04-15T21:15:57,completed
58,174,364,1,81.86,81.86,wallet,2026-01-24T16:41:16,completed
59,535,42,5,13.06,65.3,debit_card,2026-02-18T07:26:46,pending
60,843,386,5,368.98,1844.9,debit_card,2026-01-26T01:41:21,completed
61,424,316,1,203.28,203.28,upi,2026-06-25T22:31:21,completed
62,176,216,5,255.93,1279.65,cod,2026-03-11T19:21:26,cancelled
63,280,50,1,283.83,283.83,cod,2026-05-07T20:56:18,completed
64,502,465,2,228.55,457.1,debit_card,2026-05-20T11:29:48,completed
65,892,267,1,340.26,340.26,cod,2026-02-05T10:51:18,completed
66,424,277,4,71.48,285.92,cod,2026-05-12T10:11:44,completed
67,201,278,1,388.51,388.51,wallet,2026-03-18T12:11:45,completed
68,368,156,1,440.27,440.27,cod,2026-05-24T08:29:28,completed
69,471,178,3,434.41,1303.23,upi,2026-05-23T20:17:33,completed
70,45,157,2,21.37,42.74,debit_card,2026-06-13T08:03:58,refunded
71,653,420,4,120.33,481.32,debit_card,2026-03-25T05:32:41,completed
72,383,460,5,239.55,1197.75,wallet,2026-01-29T01:41:50,pending
73,491,443,2,434.37,868.74,credit_card,2026-06-01T02:04:23,completed
74,928,301,2,135.94,271.88,credit_card,2026-02-11T22:44:09,completed
75,703,434,1,493.89,493.89,credit_card,2026-03-31T16:15:52,completed
76,980,354,1,65.01,65.01,credit_card,2026-01-21T10:58:09,completed
77,759,313,1,392.98,392.98,upi,2026-04-16T03:29:42,refunded
78,616,83,3,487.4,1462.2,debit_card,2026-04-10T05:13:16,completed
79,995,360,4,139.27,557.08,debit_card,2026-02-26T02:31:31,cancelled
80,544,15,3,483.13,1449.39,upi,2026-05-24T10:40:50,completed
81,504,433,1,185.81,185.81,wallet,2026-05-10T02:12:51,completed
82,133,382,5,498.99,2494.95,debit_card,2026-02-20T02:39:11,completed
83,295,190,2,364.95,729.9,debit_card,2026-03-24T04:45:09,pending
84,515,153,3,365.76,1097.28,cod,2026-07-15T23:58:23,completed
85,129,252,3,113.13,339.39,cod,2026-03-09T16:08:57,completed
86,492,484,2,183.29,366.58,credit_card,2026-04-04T10:59:44,completed
87,204,78,5,486.07,2430.35,wallet,2026-02-21T13:09:06,pending
88,537,404,1,245.26,245.26,credit_card,2026-04-25T03:03:39,completed
89,413,189,5,376.31,1881.55,wallet,2026-06-06T16:28:32,completed
90,884,378,1,59.63,59.63,debit_card,2026-02-21T07:16:55,pending
91,38,295,3,243.35,730.05,debit_card,2026-05-18T00:53:02,completed
92,646,499,3,279.81,839.43,wallet,2026-06-27T07:00:45,completed
93,762,398,1,84.37,84.37,wallet,2026-03-02T15:17:26,completed
94,229,72,5,185.17,925.85,debit_card,2026-01-22T12:43:34,completed
95,234,20,1,279.68,279.68,wallet,2026-02-22T12:33:37,completed
96,288,76,4,167.01,668.04,upi,2026-03-17T18:00:31,completed
97,747,455,4,420.56,1682.24,credit_card,2026-03-11T23:40:05,completed
98,245,393,3,352.16,1056.48,debit_card,2026-07-04T10:10:36,pending
99,154,337,1,105.37,105.37,cod,2026-06-06T10:27:45,completed
100,610,29,2,222.34,444.68,upi,2026-05-05T19:10:10,completed
101,821,174,5,238.04,1190.2,debit_card,2026-05-26T06:06:42,completed
102,201,180,1,431.89,431.89,upi,2026-03-04T21:55:51,completed
103,808,186,4,68.82,275.28,wallet,2026-01-31T09:14:19,completed
104,753,157,1,21.37,21.37,cod,2026-07-11T23:06:02,completed
105,346,496,4,168.6,674.4,wallet,2026-02-18T21:56:18,cancelled
106,577,481,3,32.26,96.78,credit_card,2026-03-22T01:29:37,completed
107,605,342,4,21.12,84.48,debit_card,2026-06-26T19:42:46,completed
108,606,91,5,201.14,1005.7,cod,2026-02-08T21:11:51,pending
109,649,279,5,421.69,2108.45,wallet,2026-05-12T17:03:50,completed
110,633,282,1,238.69,238.69,wallet,2026-05-02T07:34:48,completed
111,827,210,3,444.36,1333.08,debit_card,2026-04-24T04:09:08,completed
112,61,150,3,346.8,1040.4,cod,2026-02-13T06:11:37,completed
113,589,352,2,407.84,815.68,upi,2026-02-05T11:00:52,completed
114,501,36,3,318.04,954.12,debit_card,2026-07-05T02:55:40,completed
115,869,38,2,293.07,586.14,wallet,2026-03-20T07:43:25,completed
116,229,330,1,283.77,283.77,upi,2026-03-31T20:14:15,completed
117,274,19,1,73.24,73.24,debit_card,2026-05-08T01:57:41,completed
118,684,432,4,165.09,660.36,wallet,2026-02-01T09:00:35,completed
119,262,344,4,54.87,219.48,wallet,2026-01-22T18:31:40,completed
120,568,158,3,412.64,1237.92,debit_card,2026-01-28T02:35:07,completed
121,352,121,4,411.72,1646.88,debit_card,2026-04-13T06:31:52,completed
122,159,455,2,420.56,841.12,cod,2026-01-21T10:57:49,completed
123,777,54,3,302.49,907.47,cod,2026-01-27T20:37:29,completed
124,859,252,1,113.13,113.13,debit_card,2026-05-14T02:35:09,pending
125,656,108,1,162.41,162.41,wallet,2026-02-26T12:09:21,pending
126,487,354,3,65.01,195.03,wallet,2026-02-20T23:59:40,completed
127,505,326,2,177.31,354.62,wallet,2026-02-25T21:50:19,completed
128,181,246,4,217.11,868.44,credit_card,2026-05-14T23:04:47,completed
