transaction_id,user_id,product_id,quantity,unit_price,total_amount,payment_method,transaction_date,status,payment_encoded
1,553,110,2,91.9,183.8,debit_card,2026-03-04 00:44:55,completed,2
2,190,21,3,311.61,934.83,credit_card,2026-06-08 09:13:17,pending,1
3,973,496,2,168.6,337.2,debit_card,2026-04-19 03:01:32,completed,2
4,764,351,1,429.96,429.96,cod,2026-06-02 19:12:50,completed,0
5,762,230,1,305.05,305.05,debit_card,2026-01-25 03:00:30,completed,2
6,884,55,3,261.29,783.87,credit_card,2026-07-04 06:10:01,pending,1
7,804,374,2,189.95,379.9,wallet,2026-03-17 06:10:27,completed,4
8,839,246,5,217.11,1085.55,debit_card,2026-05-04 14:37:31,completed,2
9,823,388,2,321.07,642.14,debit_card,2026-04-07 00:16:09,completed,2
10,222,412,1,442.0,442.0,cod,2026-06-05 08:15:22,completed,0
11,729,55,4,261.29,1045.16,wallet,2026-05-08 01:58:04,pending,4
12,331,250,4,38.75,155.0,wallet,2026-01-26 01:26:40,completed,4
13,175,326,4,177.31,709.24,cod,2026-04-24 17:34:25,completed,0
14,926,174,5,238.04,1190.2,cod,2026-05-21 01:59:12,completed,0
15,974,14,4,186.07,744.28,credit_card,2026-03-31 05:05:01,completed,1
16,864,397,2,97.38,194.76,debit_card,2026-02-09 23:52:39,completed,2
17,949,84,5,297.99,1489.95,credit_card,2026-05-02 11:41:46,completed,1
18,969,496,3,168.6,505.8,upi,2026-02-12 22:10:16,cancelled,3
19,426,202,4,54.41,217.64,wallet,2026-06-07 09:07:06,completed,4
20,719,130,5,207.59,1037.95,cod,2026-02-18 18:36:44,completed,0
21,754,153,4,365.76,1463.04,credit_card,2026-03-18 13:55:16,completed,1
22,362,385,2,195.47,390.94,debit_card,2026-07-02 00:45:53,completed,2
23,461,492,3,235.12,705.36,wallet,2026-05-13 09:56:38,completed,4
24,475,238,1,137.15,137.15,upi,2026-04-07 16:00:34,completed,3
25,973,103,5,175.3,876.5,wallet,2026-07-17 14:01:02,completed,4
26,264,328,3,255.59,766.77,cod,2026-07-15 08:59:58,cancelled,0
27,15,253,2,61.79,123.58,upi,2026-01-27 14:08:53,completed,3
28,863,156,5,440.27,2201.35,debit_card,2026-06-24 23:58:05,completed,2
29,422,239,1,346.84,346.84,wallet,2026-07-11 02:01:30,completed,4
30,290,262,2,197.08,394.16,debit_card,2026-06-12 12:08:25,completed,2
31,842,334,2,202.47,404.94,cod,2026-06-25 20:05:33,completed,0
32,683,385,4,195.47,781.88,credit_card,2026-07-09 22:59:45,refunded,1
33,788,58,1,185.88,185.88,upi,2026-04-14 14:38:47,completed,3
34,515,261,4,398.14,1592.56,debit_card,2026-04-04 13:46:17,completed,2
35,52,48,2,40.06,80.12,credit_card,2026-05-17 05:13:17,completed,1
36,932,136,2,27.09,54.18,upi,2026-02-25 20:53:42,completed,3
37,593,144,1,201.69,201.69,upi,2026-04-12 20:10:01,completed,3
38,261,400,1,311.77,311.77,debit_card,2026-01-31 22:14:11,completed,2
39,155,240,4,55.73,222.92,wallet,2026-03-07 01:10:46,completed,4
40,208,77,1,284.08,284.08,wallet,2026-04-18 21:26:34,completed,4
41,161,136,3,27.09,81.27,upi,2026-06-04 05:26:51,completed,3
42,723,467,4,98.98,395.92,credit_card,2026-03-27 04:32:39,completed,1
43,915,447,5,180.91,904.55,debit_card,2026-03-13 09:50:13,pending,2
44,680,452,4,70.23,280.92,upi,2026-01-23 05:22:04,completed,3
45,694,444,1,452.42,452.42,debit_card,2026-03-12 20:14:35,pending,2
46,842,470,4,165.11,660.44,debit_card,2026-06-13 12:01:07,completed,2
47,311,90,3,111.44,334.32,credit_card,2026-05-20 05:51:57,pending,1
48,387,18,2,95.61,191.22,cod,2026-04-29 12:13:06,completed,0
49,103,194,4,106.72,426.88,upi,2026-05-24 23:01:00,completed,3
50,403,455,5,420.56,2102.8,upi,2026-05-20 00:55:20,completed,3
51,99,473,3,475.13,1425.39,credit_card,2026-01-26 22:38:25,completed,1
52,811,21,3,311.61,934.83,upi,2026-02-10 08:22:10,completed,3
53,393,278,5,388.51,1942.55,debit_card,2026-03-07 23:05:35,completed,2
54,391,33,4,476.44,1905.76,debit_card,2026-04-06 06:51:19,refunded,2
55,399,28,5,152.37,761.85,credit_card,2026-05-18 18:01:07,completed,1
56,188,98,5,194.45,972.25,credit_card,2026-04-24 19:46:46,completed,1
57,862,352,3,407.84,1223.52,credit_card,2026-04-15 21:15:57,completed,1
58,174,364,1,81.86,81.86,wallet,2026-01-24 16:41:16,completed,4
59,535,42,5,13.06,65.3,debit_card,2026-02-18 07:26:46,pending,2
60,843,386,5,368.98,1844.9,debit_card,2026-01-26 01:41:21,completed,2
61,424,316,1,203.28,203.28,upi,2026-06-25 22:31:21,completed,3
62,176,216,5,255.93,1279.65,cod,2026-03-11 19:21:26,cancelled,0
63,280,50,1,283.83,283.83,cod,2026-05-07 20:56:18,completed,0
64,502,465,2,228.55,457.1,debit_card,2026-05-20 11:29:48,completed,2
65,892,267,1,340.26,340.26,cod,2026-02-05 10:51:18,completed,0
66,424,277,4,71.48,285.92,cod,2026-05-12 10:11:44,completed,0
67,201,278,1,388.51,388.51,wallet,2026-03-18 12:11:45,completed,4
68,368,156,1,440.27,440.27,cod,2026-05-24 08:29:28,completed,0
69,471,178,3,434.41,1303.23,upi,2026-05-23 20:17:33,completed,3
70,45,157,2,21.37,42.74,debit_card,2026-06-13 08:03:58,refunded,2
71,653,420,4,120.33,481.32,debit_card,2026-03-25 05:32:41,completed,2
72,383,460,5,239.55,1197.75,wallet,2026-01-29 01:41:50,pending,4
73,491,443,2,434.37,868.74,credit_card,2026-06-01 02:04:23,completed,1
